Date,Season,Kullu,Kullu_Trend,Kullu_SMA,Kullu_EWMA,Kullu_DES,Kullu_TES,Kullu_ARIMA
1996-02-29,POMRB,3.105,,,3.105,2.6366467487198175,3.1095312500000003,0.0
1996-05-31,PREMON,4.08,,,3.495,2.93487644618366,4.088811461218837,3.10499768616485
1996-08-31,MONSOON,2.7025,3.17625,,3.178,2.913557993136966,2.7153419896831683,3.5950239781369584
1996-11-30,POMKH,2.79,3.1540624999999998,3.1693750000000005,3.0228,2.9107280356242464,2.8066248116918047,3.2924013057590598
1997-02-28,POMRB,3.16,3.1534375,3.1831250000000004,3.07768,2.982737563577106,3.124447025168984,3.14545195898311
1997-05-31,PREMON,3.8475,3.1846875,3.1250000000000004,3.385608,3.187185061615249,4.105153560333951,3.3850791953991206
1997-08-31,MONSOON,2.93,3.180625,3.1818750000000002,3.2033648,3.1760477748203093,2.7172538744145367,3.1135598633770676
1997-11-30,POMKH,2.8125,3.2028125000000003,3.1875,3.04701888,3.1386699826423983,2.819740502694648,3.1111070408054204
1998-02-28,POMRB,3.105,3.1750000000000003,3.17375,3.070211328,3.1631266010639227,3.1462492556181845,3.169479550373895
1998-05-31,PREMON,4.08,3.1153125,3.2318749999999996,3.4741267968000002,3.3844612545732593,4.076359081431353,3.2778825808839054
1998-08-31,MONSOON,2.475,3.12625,3.1181249999999996,3.0744760780800005,3.245791731912759,2.7769504605601307,3.2233516918622476
1998-11-30,POMKH,2.79,3.081875,3.1125,2.9606856468480003,3.184769490785769,2.8166524011697796,3.101155765118713
1999-02-28,POMRB,3.215,3.210625,3.1399999999999997,3.0624113881088,3.216030629805736,3.1357552366793304,3.117685926607468
1999-05-31,PREMON,3.615,3.403125,3.0237499999999993,3.2834468328652804,3.3242278200010675,4.078614118195122,3.351270679161694
1999-08-31,MONSOON,3.97,3.44125,3.3974999999999995,3.5580680997191685,3.491427815257239,2.7043868642893947,3.001051517741126
1999-11-30,POMKH,2.835,3.340625,3.4087499999999995,3.268840859831501,3.401908272847568,2.872427555852119,3.192807236659243
2000-02-29,POMRB,3.475,3.1368750000000003,3.47375,3.3513045158989008,3.451490445378109,3.2100213239433195,3.2534584343642465
2000-05-31,PREMON,2.5500000000000003,3.180625,3.2075,3.0307827095393405,3.302050968373051,4.079793053750812,3.32196625007849
2000-08-31,MONSOON,3.405,3.3301562500000004,3.0662499999999997,3.180469625723604,3.3437468221318727,2.922385536408057,3.434731861466562
2000-11-30,POMKH,3.75,3.5621875,3.295,3.4082817754341623,3.450019638485539,2.841202068249773,3.1129534041565075
2001-02-28,POMRB,3.75625,3.7615625,3.3653125000000004,3.547469065260498,3.54330374629674,3.276696217229877,3.317431882240234
2001-05-31,PREMON,4.125,3.7846875,3.7590624999999998,3.778481439156299,3.6997694504356695,3.8753214416437127,3.1084193220219443
2001-08-31,MONSOON,3.4250000000000003,3.81765625,3.7640625,3.6370888634937795,3.69039764944185,3.135193242458965,3.381413936622793
2001-11-30,POMKH,3.915,3.766875,3.8053125000000003,3.7482533180962676,3.7797987855323125,3.1164943956316296,3.5582837138354755
2002-02-28,POMRB,3.855,3.744375,3.8300000000000005,3.790951990857761,3.8430702924160784,3.4834430432015253,3.558215001895301
2002-05-31,PREMON,3.62,3.7389583333333336,3.7037500000000003,3.7225711945146562,3.8466270920856833,4.044823725764985,3.748768974194372
2002-08-31,MONSOON,3.75,3.7710416666666666,3.785,3.7335427167087936,3.872751578474266,3.2783986001208723,3.509278617930478
2002-11-30,POMKH,3.5466666666666664,3.8825000000000003,3.692916666666667,3.6587922966919426,3.85019395268904,3.3529595114898334,3.615291378043302
2003-02-28,POMRB,4.48,3.8349999999999995,3.849166666666667,3.9872753780151657,4.019929085356418,3.6223591239903827,3.6021158405629263
2003-05-31,PREMON,3.8866666666666654,3.805833333333333,3.9158333333333335,3.9470318934757653,4.044090488983291,4.0866207518840225,3.5845032898887923
2003-08-31,MONSOON,3.103333333333333,3.903333333333333,3.7541666666666664,3.6095524694187926,3.8998091318340684,3.4772364868436973,3.7066967939841473
2003-11-30,POMKH,3.96,3.9512499999999995,3.8575,3.7497314816512755,3.9454332696620957,3.464741809099161,3.5737061856981684
2004-02-29,POMRB,4.846666666666667,3.9904166666666674,3.9491666666666667,4.188505555657432,4.166640266808586,3.8570021794789566,3.8555977118361415
2004-05-31,PREMON,3.9033333333333338,3.936666666666667,3.9533333333333336,4.074436666727793,4.164243377121519,4.163747467377601,3.8244184642958583
2004-08-31,MONSOON,3.4000000000000004,3.6829166666666664,4.027500000000001,3.8046620000366764,4.054280784131735,3.5260716997614354,3.6042940252689326
2004-11-30,POMKH,3.233333333333333,3.5275,3.845833333333334,3.5761305333553386,3.919707616320077,3.666899545831168,3.8265108515184245
2005-02-28,POMRB,3.543333333333333,3.4904166666666665,3.5200000000000005,3.5630116533465364,3.862591999160842,4.088808413897005,3.93593056748762
2005-05-31,PREMON,3.963333333333333,3.4195833333333328,3.5350000000000006,3.723140325341255,3.8971117257881454,4.113593423888819,3.685705718635001
2005-08-31,MONSOON,3.043333333333333,3.39375,3.445833333333334,3.4512175285380864,3.7379302375536634,3.4994497130511286,3.6410059942954573
2005-11-30,POMKH,3.023333333333333,3.299583333333333,3.393333333333334,3.280063850456185,3.593734552769388,3.5699632823660674,3.4767513195217177
2006-02-28,POMRB,3.5466666666666664,3.1520833333333336,3.394166666666667,3.386704976940378,3.5745667155605974,3.9635466712801444,3.4699414312774937
2006-05-31,PREMON,3.206666666666667,3.1700000000000004,3.2050000000000005,3.314689652830894,3.489362842733859,4.053153494151738,3.6417328593673584
2006-08-31,MONSOON,2.62,3.266666666666667,3.099166666666667,3.0368137916985365,3.29714562963169,3.34779585078008,3.378961153260206
2006-11-30,POMKH,3.59,3.2333333333333334,3.2408333333333337,3.258088275019122,3.328404543193244,3.3826889878705138,3.327771671294942
2007-02-28,POMRB,3.753333333333333,3.2141666666666664,3.2925000000000004,3.4561862983448064,3.3911452783759075,3.8314988959625143,3.4796035784746517
2007-05-31,PREMON,2.733333333333333,3.2987499999999996,3.174166666666667,3.167045112340217,3.240431885986353,3.86709698826695,3.3750249847222418
2007-08-31,MONSOON,2.94,3.418333333333333,3.2541666666666664,3.07622706740413,3.1529737565413,3.160561261500412,3.2176053137045915
2007-11-30,POMKH,3.9466666666666654,3.6804166666666664,3.343333333333333,3.424402907109144,3.2838047450783256,3.366405559020833,3.4370450344445937
2008-02-29,POMRB,4.3533333333333335,3.8745833333333333,3.493333333333333,3.7959750775988197,3.483858084320841,3.7874084246811135,3.496073186109946
2008-05-31,PREMON,4.23,3.895833333333333,3.8675,3.969585046559292,3.6355202616263353,3.68965607042837,3.348110291025816
2008-08-31,MONSOON,2.9966666666666666,3.871666666666667,3.8816666666666673,3.580417694602242,3.5159205796945763,3.21948197583818,3.512116189159225
2008-11-30,POMKH,4.06,3.8570833333333336,3.910000000000001,3.7722506167613448,3.628242935672146,3.555707887686256,3.659802556339928
2009-02-28,POMRB,4.046666666666667,4.277083333333334,3.8333333333333344,3.882017036723474,3.7240869699272277,3.9742929455554576,3.8018477067171035
2009-05-31,PREMON,4.420000000000001,4.641666666666667,3.8808333333333342,4.097210222034085,3.884612784828872,3.849002103997873,3.8536091174001577
2009-08-31,MONSOON,6.166666666666668,4.653333333333333,4.673333333333335,4.924992799887118,4.388820140641509,3.2625044558732665,3.5674724790358554
2009-11-30,POMKH,3.806666666666666,4.660833333333334,4.610000000000001,4.477662346598938,4.343547589466279,3.8893384614726267,4.044602432494026
2010-02-28,POMRB,4.3933333333333335,4.176666666666667,4.696666666666668,4.4439307412926965,4.419239913014261,4.2184309971791745,3.991221141636602
2010-05-31,PREMON,4.133333333333334,3.63625,4.625000000000001,4.319691778108951,4.427241716522106,4.187148499950514,4.119996498105789
2010-08-31,MONSOON,2.58,3.3741666666666665,3.7283333333333344,3.6238150668653706,4.10910743824719,3.9443115037341094,4.664088368775243
2010-11-30,POMKH,3.0700000000000003,3.037916666666667,3.544166666666668,3.4022890401192223,3.9258225923296646,3.871210786274773,3.7898778001496267
2011-02-28,POMRB,3.033333333333333,2.7641666666666667,3.2041666666666675,3.2547067574048665,3.755766980769424,4.197491824768987,3.8804764634085878
2011-05-31,PREMON,2.8033333333333332,2.7474999999999996,2.871666666666667,3.0741573877762534,3.559818475279399,4.050246587013361,3.7073829546879202
2011-08-31,MONSOON,1.7199999999999998,3.052083333333333,2.6566666666666667,2.532494432665752,3.1716008609574127,3.5250169345504645,3.0747290361727737
2011-11-30,POMKH,3.796666666666667,3.378333333333333,2.8383333333333334,3.038163326266118,3.257063420348314,3.5037334975446757,3.245493270530961
2012-02-29,POMRB,4.743333333333333,3.674583333333333,3.2658333333333336,3.720231329093004,3.528223908816193,3.8194260608251067,3.2477050263032234
2012-05-31,PREMON,3.703333333333333,3.8674999999999997,3.4908333333333332,3.7134721307891354,3.5552081741182997,3.7639291286661694,3.356590226216272
2012-08-31,MONSOON,3.19,3.8374999999999995,3.8583333333333334,3.5040832784734812,3.4747462458972476,3.2112184501942096,3.2502477261038543
2012-11-30,POMKH,3.87,3.7512499999999998,3.876666666666667,3.650449967084089,3.543840263826063,3.618218540357955,3.7057722225502983
2013-02-28,POMRB,4.43,3.7295833333333333,3.798333333333334,3.9622699802504533,3.720179087082893,4.0344028374320695,3.9811482583510833
2013-05-31,PREMON,3.3266666666666667,3.8606249999999998,3.7041666666666675,3.7080286548169386,3.649042369313753,3.797218917519328,3.763681697859183
2013-08-31,MONSOON,3.393333333333333,4.03125,3.7550000000000012,3.5821505262234963,3.599731619542871,3.229580105914926,3.624228982463566
2013-11-30,POMKH,4.715,4.006666666666667,3.9662500000000014,4.035290315734098,3.8277254725964203,3.690364230245104,3.6586810825084135
2014-02-28,POMRB,4.95,3.9154166666666663,4.096250000000001,4.401174189440459,4.07740657986952,4.173017116980736,3.839259667286582
2014-05-31,PREMON,2.61,3.8118749999999997,3.9170833333333346,3.6847045136642755,3.8146435122812212,3.8232864706218495,3.7279709056256536
2014-08-31,MONSOON,3.38,3.8,3.9137500000000016,3.5628227081985653,3.739250232353602,3.3187932199465524,3.662126349215556
2014-11-30,POMKH,3.9,3.875,3.7100000000000017,3.697693624919139,3.778702560510652,3.911908262214269,3.9636140706274405
2015-02-28,POMRB,5.67,3.8602604166666667,3.8900000000000015,4.486616174951484,4.178648916748902,4.299831076315252,3.9982274385900087
2015-05-31,PREMON,2.49,3.7317708333333335,3.860000000000001,3.6879697049708904,3.8758066317597586,3.667638830471609,3.6089011977157064
2015-08-31,MONSOON,3.382083333333333,3.4814583333333333,3.860520833333335,3.5656151563158676,3.789894507033903,3.366927433154758,3.6895225073865197
2015-11-30,POMKH,2.87,3.7998958333333333,3.603020833333335,3.2873690937895206,3.609138226359323,3.946616585129663,3.7094071082374653
2016-02-29,POMRB,4.6975,4.150885416666666,3.359895833333335,3.8514214562737124,3.824862548633048,4.494317822690794,4.077592162044345
2016-05-31,PREMON,6.01,4.2212499999999995,4.239895833333335,4.714852873764228,4.287712680118253,3.39278012669158,3.45429888854745
2016-08-31,MONSOON,2.67,4.3021875000000005,4.061875000000002,3.8969117242585365,4.006523010557101,3.4850065586948045,3.8849042090243935
2016-11-30,POMKH,4.145,3.996875,4.380625000000002,3.9961470345551215,4.058700683539719,3.851190615172839,3.6210279045681935
2017-02-28,POMRB,4.07,3.9468750000000004,4.223750000000003,4.025688220733073,4.087289851189082,4.679462012747669,4.030090194674928
2017-05-31,PREMON,4.195,4.069375,3.7700000000000027,4.093412932439844,4.1361101521343215,3.9204353132791137,4.552885886081835
2017-08-31,MONSOON,4.085,4.018750000000001,4.123750000000003,4.090047759463906,4.154313482471644,3.3450621617110334,3.6022802560159763
2017-11-30,POMKH,3.71,4.1359375,4.015000000000003,3.9380286556783437,4.090969499652667,3.9700974708775254,4.070559035238118
2018-02-28,POMRB,4.1,4.797499999999999,4.022500000000003,4.002817193407006,4.113276220106755,4.62699558069953,3.922951047834177
2018-05-31,PREMON,5.1025,5.385625000000001,4.249375000000002,4.442690316044203,4.33810495272767,4.01252232597351,3.8377020351279616
2018-08-31,MONSOON,8.47,,5.345625000000002,6.053614189626522,5.241919963303068,3.556434323599129,4.169885990502229
2018-11-30,POMKH,4.03,,5.425625000000002,5.244168513775913,,4.257683944678325,4.379815137458865
